name,island,site_score,iconic_species_score,biodiversity_score,striking_vistas_score,snorkel_quality_score,beach_quality_score,landing,difficulty,wildlife_sightings,description,image_url
South Plaza Island,South Plaza,78,75,76,83,,,Dry,Moderate,"Hybrid land/marine iguana,Land Iguana,Red-billed tropicbirds,Sea lions","Various sea birds can be spotted from the top of the sea cliffs. Land iguanas sit patiently, waiting for cactus flowers to drop. Marine iguanas and sea lions are also abundant. South Plaza is also home to the beautiful succulent Sesuvium plant, which changes from bright green in the rainy season to red, orange, and purple during the dry season . Landing: Dry. Difficulty: Moderate.",https://www.galapagosadvisor.com/media/1123/south-plazas.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312740000000
Darwin Island,Darwin,77,90,90,50,,,,,"Sea turtles,Sharks","Scuba diving only at Darwin Island. Common marine wildlife includes whales sharks (mostly June to November), Blacktip, Hammerhead and silky sharks, green sea turtles, manta rays, dolphins and more.",https://www.galapagosadvisor.com/media/1381697/darwin-island.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312710000000
Wolf Island,Wolf,77,90,90,50,,,,,"Sea turtles,Sharks","Scuba diving only at Wolf Island. Common marine wildlife includes whales sharks (mostly June to November), Blacktip, Hammerhead and silky sharks, green sea turtles, manta rays, dolphins and more.",https://www.galapagosadvisor.com/media/1381699/wolf-island2.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867330140000000
"Genovesa Island, Darwin Bay",Genovesa,76,88,88,81,65,57,Wet,Easy,"Nazca booby,Red-footed booby,Sea lions,Sea turtles","After landing on a white-sand, coral beach, you follow a short trail (800m) that meanders through mangroves to the tidal pools where sea lions are often found frolicking, and up a rocky hill that leads to a point overlooking the cliffs and Darwin Bay. This is one of the few places in the islands where you are pretty much guaranteed to see red-footed boobies, along with other tidal lagoon birds. Landing: Wet. Difficulty: Easy/Moderate.","https://www.galapagosadvisor.com/media/1095/galapagos-islands-darwin-bay.jpg?crop=0.045060861423220973,0,0.13565074906367047,0&cropmode=percentage&width=400&height=267&rnd=131867312720000000"
"Fernandina Island, Punta Mangle",Fernandina,75,80,70,65,85,,,,"Flightless cormorant,Galapagos penguin,Rays,Sharks","Punta Mangle is a superior snorkeling site and a beautiful location for riding in a panga through a grove of mangrove trees. A 500m hike can also be done. While you are on your ride, you are likely to see plenty of marine iguanas, sea lions, tortoises, pelicans, rays and many birds.",https://www.galapagosadvisor.com/media/1199/mangle-point.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312710000000
"Isabela Island, Elizabeth Bay",Isabela,71,66,70,76,,,None (panga ride),Easy,"Flightless cormorant,Galapagos penguin,Rays,Sea turtles,Sharks","A panga ride site. A tour around the vary quiet mangrove inlets and adjacent lagoons may reveal Galápagos green turtles, golden cownose rays, spotted eagle rays, and white-tip reef sharks. Galápagos penguins prefer the rocky islets, and marine iguanas enjoy the plentiful algae. Other species seen here include flightless cormorants, pelicans and lava herons. Landing: None (panga ride). Difficulty: Easy.",https://www.galapagosadvisor.com/media/1172/isa-eliz-bay.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
"Santiago Island, Puerto Egas",Santiago,71,70,70,70,73,72,Wet,Easy,"Flamingo,Fur seals,Galapagos hawk","This is the jumping off point for two trails. The first leads to fur seal grottos – a stretch of rocky coastline that offers them shade and protection. The second trail leads to the Salt Mine Volcano, a small crater that features a seasonally flooded lagoon, where flamingos and Galapagos hawks can sometimes be spotted. Landing: Wet. Difficulty: Easy/Moderate.",https://www.galapagosadvisor.com/media/1125/santiago-pto-egas.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312740000000
"Isabela Island, Albemarle Point",Isabela,70,73,73,63,,,N/A,Easy,"Flightless cormorant,Galapagos penguin","Albemarle Point is a seldom visited site at the northern end of Isabela and if so, often by panga ride. A World War II radar station was built here by the USA. Visitors can walk to the ruins of the radar base. Marine iguanas on the north end of Isabela are some of the largest in the archipelago, and if you spot any penguins, you'll be seeing one of the very few that live in the northern hemisphere. Landing: N/A Difficulty: Easy",https://www.galapagosadvisor.com/media/1173/is-pta-albe.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
"Isabela Island, Tagus Cove",Isabela,70,54,57,88,81,,"Dry, with slippery rocks",Moderate,"Flightless cormorant,Galapagos penguin,Sea lions,Sea turtles","A deep water cove frequented by whales and pirates as attested by old graffiti on shoreline cliffs. A short steep hike leads to the salt water Darwin Lake, lying within a tuff cone. With nice vistas, you can spot a variety of finch species, hawks, yellow warblers, Galapagos flycatchers. A panga ride along the cliffs may reveal flightless cormorants, Galápagos penguins, and Galápagos sea lions. Landing: Dry, with slippery rocks. Difficulty: Moderate/Difficult.",https://www.galapagosadvisor.com/media/1169/isab-tagus2.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
"Isabela Island, Cabo Marshall (scuba)",Isabela,70,,,,70,,,,"Rays,Sea lions,Sharks","SCUBA ONLY Cabo (Cape) Marshall is on the eastern side of Isabela island. An underwater lava flow from Wolf Volcano comes to an end just off the Cape here, forming a very steep slope with boulders and lava ridges. The bottom is quite bare, with some black coral. Besides a good variety of fish, this is a great place for rays (manta, mobula, eagle) but also for the occasional shark (hammerhead, white tipped reef), yellowfin tuna and sealion. Schools of up to 50 mobula are spotted from time to time. Big schools of fish (salema, barracuda) can also be spotted. Drift diving / walls. Currents are moderate to strong.",https://www.galapagosadvisor.com/media/1403193/mobula.jpg?anchor=center&mode=crop&width=400&height=267&rnd=132029672570000000
"San Cristóbal Island, Leon Dormido",San Cristóbal,69,52,59,81,83,,None,Easy,"Rays,Sea lions,Sea turtles,Sharks","Rising several hundred feet above the water, this majestic volcanic monolith is one of the most photographed sites in the islands. Keep an eye on the cliffs for blue-footed and Nazca boobies and frigatebirds. While there are no landing sites, Kicker Rock provides excellent snorkeling opportunities. You may see Galápagos and hammerhead sharks, spotted eagle rays, turtles and tropical fish. Landing: None. Difficulty: Easy.",https://www.galapagosadvisor.com/media/1147/san-crist-leon-dormido.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312730000000
Bartolomé Island,Bartolomé,68,39,38,98,84,83,Dry,Moderate,"Galapagos penguin,Rays,Sea turtles,Sharks","Bartolomé Island has two visitor sites that are usually combined into one visit. The first is a swim and snorkel off a nice beach, around the iconic Pinnacle Rock; the underwater world there is really impressive. Snorkelers are in the water with the penguins, marine turtles white-tipped reef sharks, rays and other tropical fish. The second site is accessible via a long staircase leading up to a spectacular view point from which you can see the manifestations of recent volcanic activity. Landing: Dry. Difficulty: Moderate",https://www.galapagosadvisor.com/media/1098/bartoleme_island.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131782501830000000
Rábida Island,Rábida,67,45,44,78,87,79,Wet,Easy,"Nazca booby,Sea lions","On its red sands, spot marine iguanas and a noisy colony of sea lions. Brown pelicans make homes by the beach in saltbushes. Behind the beach is a lagoon where wading birds and white-cheeked pintail ducks feed, while blue-footed and nazca boobies linger in the cliffs. Landing: Wet. Difficulty: Easy/Moderate.",https://www.galapagosadvisor.com/media/1157/rabida.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
"Santa Cruz Island, Tortuga Bay",Santa Cruz,67,57,56,84,39,97,None,Easy,Rays,"This beautiful and very long beach is reached via a 1.6km (1 mile) walk from town. The waves can be big - swimmers use caution. At the very end lies a secluded bay with very calm (though coffee coloured) water where shade under mangrove trees can be found. marine iguanas, flamingos (in the salt lagoon behind the mangroves) and white-tipped reef sharks. Landing: None. Difficulty: Easy.",https://www.galapagosadvisor.com/media/1130/sta-cruz-tortuga-bay.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312730000000
Sombero Chino Island,Sombero Chino,67,57,52,81,85,60,Wet,Moderate,"Galapagos hawk,Galapagos penguin,Sea lions","The landing site is at a small crescent-shaped white-sand beach. A trail runs from the landing site — where you may see penguins, sea lions and Sally Lightfoot crabs — to the rocky shore of the western part of the island. Here, you’ll enter a primeval world of volcanic rubble, sharp outcroppings, and lava formations. A visit usually includes a snorkel/swim. Landing: Wet. Difficulty: Moderate.",https://www.galapagosadvisor.com/media/1124/sombrero-chino.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312740000000
"Isabela Island, Concha de Perla",Isabela,66,50,75,65,75,,,,"Rays,Sea lions,Sea turtles,Sharks","A quiet lagoon formed by lava flows, Concha de Perla is a great place to snorkel from the town of Villamil. The chances of seeing marine iguanas, rays, sea turtles and sharks are pretty good.",https://www.galapagosadvisor.com/media/1238/isabela-island-concha-de-perla.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
"Isabela Island, Villamil Beach",Isabela,65,50,50,75,65,85,,,Sea lions,"The remote town of Villamil is located on a beautiful series of white sand beaches. Modest waves come rolling in, shade can be found below mangroves on the eastern edge. Jump in for a swim, make sand castles, and if your thirsty of hungry, you can grab a bite or have a drink just steps away.",https://www.galapagosadvisor.com/media/1237/isabela-island-villamil-beach.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
"San Cristóbal Island, Punta Pitt",San Cristóbal,65,52,62,85,61,66,Wet,Moderate,"Nazca booby,Red-footed booby,Sea lions","Disembarking on Punta Pitt, the easternmost point in the Galápagos, you’ll arrive on a mangrove-lined beach. After being greeted by a sea lion colony, you’ll discover the only place in Galápagos where all three types of boobies nest, alongside both types of frigatebirds. A steep, 2.5-mile trail takes visitors up a cliff and through a ravine where abundant birdlife can be found. Landing: Wet. Difficulty: Moderate/Difficult.",https://www.galapagosadvisor.com/media/1144/san-crist-pta-pitt.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312730000000
"Santa Cruz Island, El Chato",Santa Cruz,65,77,65,54,,,None,Easy,"Giant tortoise in the wild,Scalesia forest,Vermillion flycatcher","El Chato is known as a roaming grounds for the Galapagos Giant tortoises, which cross the reserve on their permanent migrations from the coast to the highlands, making it one of the easiest laces where is possible to see these enigmatic animals in their natural habitat. The reserve has thousands of square meters of high pastures and Scalesia forests, an endemic and beautiful plant of the Galapagos. Landing: None. Difficulty: Easy",https://www.galapagosadvisor.com/media/1136/sta-x-el-chato.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312730000000
"Isabela Island, Tintorera",Isabela,64,60,59,73,65,,Dry,Easy,"Galapagos penguin,Rays,Sea lions,Sharks","This is a group of small islets just a few hundred metres off the coast of Villamil that are only accessible by boat. You may spot sea lions, sea turtles, marine iguanas, rays, and other species in the tranquil waters of the bay. A famous shark viewing lagoon is usually on the agenda at low tide. You may be offered to go snorkeling. Landing: Dry. Difficulty: Easy/Moderate.",https://www.galapagosadvisor.com/media/1168/isa-tintorera.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
"San Cristóbal Island, Lobos Island",San Cristóbal,64,52,62,62,62,80,Dry or wet,Easy,Sea lions,A narrow arm of seawater separates the basaltic rock outcropping of Isla Lobos from San Cristóbal. Rollicking sea lions and blue-footed boobies share the white sand beach. There are short hikes on the island and it is a great place to snorkel. Landing: Dry or wet. Difficulty: Easy/Moderate,https://www.galapagosadvisor.com/media/1146/san-cristobal-lobos-island.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312730000000
"San Cristóbal Island, Cerro Brujo",San Cristóbal,63,48,48,85,37,95,Wet,Easy,"Rays,Sea lions,Sea turtles","The beautiful white sand beach, clear waters, abundant wildlife and Kicker Rock on the horizon make this a pleasant landing spot. Frolicking sea lions may greet you as you come ashore and you may see turtles, rays, anemones, and sponge coral if you opt to snorkel or swim. Keep an eye out for shore birds, gulls, pelicans, boobies, finches and mockingbirds. Landing: Wet. Difficulty: Easy.",https://www.galapagosadvisor.com/media/1155/san-crist-cerro-brujo.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
"Santa Cruz Island, Black Turtle Cove",Santa Cruz,63,45,68,75,,,None,Easy,"Rays,Sharks","The cove is located on the north coast of the island and is only accessible by boat. A quiet boat ride through the mangroves may reveal lava herons, sea turtles, spotted rays, and a variety of shark species, including black and white tipped reef sharks and Galapagos sharks. Landing: None. Difficulty: Easy.",https://www.galapagosadvisor.com/media/1140/sta-x-black-turtle-cove.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312730000000
"Santa Cruz Island, Los Gemelos - Highlands",Santa Cruz,62,57,58,70,,,None,Moderate,"Scalesia forest,Vermillion flycatcher",Los Gemelos (The Twins) are a pair of large pit craters on the road from Puerto Ayora to Baltra. They were created when the surface material covering empty magma chambers collapsed. You can walk along the rim of the craters and enjoy breathtaking views. The trail around the larger crater passes through a Scalesia forest and is good place to see a variety of bird species. Landing: None. Difficulty: Moderate.,https://www.galapagosadvisor.com/media/1218/santa-cruz-gemelos1.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312730000000
"Santiago Island, Buccaneer Cove",Santiago,62,51,44,75,72,70,Wet,Easy,Sea lions,"In the 1600s and 1700s, Buccaneer Cove was a haven for pirates, who would anchor in the protected bay to stock up on tortoises and firewood and to repair their ships. This is often a cruise-by point, due to the sometimes wet and unsafe landing conditions. But keep an eye on the cliffs above for sea birds. The cove is home to sea lions and can be a good place to snorkel. Landing: Wet. Difficulty: Easy.",https://www.galapagosadvisor.com/media/1127/santiago-bucanneer-cove.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312730000000
Daphne Major circumnavigation,Daphne Major circumnavigation,61,57,56,71,,,,,,"Daphne Major is a volcanic island just north of Santa Cruz island and just west of the Baltra Airport. Very difficuilt to access, this is where Peter and Rosemary Grant, over several decades of reasearch, observed natural selection in action. See the book ""Beak of the Finch"" for the fascinating story. The island consists of a tuff , devoid of trees, whose rim rises 120 m (394 ft) above the sea.","https://www.galapagosadvisor.com/media/1100/daphnemajor.jpg?crop=0.0000000000000001421085471520,0.061863992172211342,0,0.020486790606653805&cropmode=percentage&width=400&height=267&rnd=131782501830000000"
"Floreana Island, La Loberia",Floreana,61,60,53,76,60,54,,,"Sea lions,Sea turtles","This nice beach hosts a colony of sea lions and in the water. Marine iguanas are also seen along the shores and sea turtles are commonly found in the rocky reefs of the Bay. The visitors site of Lobería has a path 900 m long that takes you through areas of the National Park. This area is used by locals for recreation. Part of the trail is made up of rocks and other parts, sand.",https://www.galapagosadvisor.com/media/1176/flor-loberia.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
"Isabela Island, Wetlands",Isabela,61,56,59,68,,,N/A,Easy,,"Located just outside of Villamil, the Wetlands consist of lagoons, swamps, and mangroves and are home to a variety of unique bird species such as common stilts, whimbrels, white-cheeked pintails, and gallinules. The Wetlands can be visited on foot via a path that winds through the swamps, sometimes using elevated boardwalks. Landing: N/A. Difficulty: Easy",https://www.galapagosadvisor.com/media/1165/isa-wetlands.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
"San Cristóbal Island, Cerro Colorado",San Cristóbal,61,66,50,57,,70,Wet,Difficult,Giant tortoise in the wild,"Also known as the Galapaguera, the hike from the beach is long, about 5 Km (3 miles) one-way and may be hot. It is important to note that the walk takes a minimum 3 1/2 hours roundtrip. A great site for those wanting to stretch their legs. Do bring water. The hike takes you to an area renown for the numerous giant tortoises easily spotted in the wild. There are goats in the interior and it is common to find their droppings along the way. Landing: Wet Difficulty: Difficult",https://www.galapagosadvisor.com/media/1154/san-crist-cerro-colorado.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
"San Cristóbal Island, Galapaguera",San Cristóbal,61,66,50,57,,70,Wet,Difficult,Giant tortoise in the wild,"Also known as the Cerro Colorado, the hike from the beach is long, about 5 Km (3 miles) one-way and may be hot. It is important to note that the walk takes a minimum 3 1/2 hours roundtrip. A great site for those wanting to stretch their legs. Do bring water. The hike takes you to an area renown for the numerous giant tortoises easily spotted in the wild. There are goats in the interior and it is common to find their droppings along the way. Landing: Wet Difficulty: Difficult",https://www.galapagosadvisor.com/media/1151/san-crist-galapaguera.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312730000000
"Floreana Island, Punta Cormorant - Champion Islet",Floreana,60,55,55,72,56,63,Wet,Easy,"Flamingo,Rays","Between two tuff cones, the Punta Cormorant landing is on a beach with green, olivine sand. Trails allow you to explore a brackish lagoon where greater flamingoes wade through the water, sifting shrimp with their curved bills. Stingrays can be seen in the shallows. You may also see pintail ducks, stilts, large-billed flycatchers, and several species of finches. Landing: Wet. Difficulty: Easy.",https://www.galapagosadvisor.com/media/1187/flor-pta-cormorant.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
"Floreana Island, Punta Cormorant - Devil`s Crown",Floreana,60,55,55,72,56,63,Wet,Easy,"Flamingo,Rays","Between two tuff cones, the Punta Cormorant landing is on a beach with green, olivine sand. Trails allow you to explore a brackish lagoon where greater flamingoes wade through the water, sifting shrimp with their curved bills. Stingrays can be seen in the shallows. You may also see pintail ducks, stilts, large-billed flycatchers, and several species of finches. Landing: Wet. Difficulty: Easy.",https://www.galapagosadvisor.com/media/1174/flor-pta-cormorant.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
"Isabela Island, Punta Moreno",Isabela,60,44,44,81,73,,Dry,Moderate,Flamingo,"Step onto the edge of a vast lava field, stretching out to Cero Azul volcano in the distance. The lava is dotted by numerous green lagoons, where flamingoes, paint-bill crakes, white-cheeked pintails and common gallinules can be seen. This young lava flow is in the process of being colonized by several species of interesting pioneer plants. Landing: Dry. Difficulty: Moderate.",https://www.galapagosadvisor.com/media/1171/isa-pta-moreno.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
"San Cristóbal Island, Cerro Tijeretas",San Cristóbal,60,35,65,80,,,,,Flightless cormorant,"Cerro Tijeretas (named after the 2 species of frigatebirds found here) is a lookout point accessible via a moderate walk from the San Cristobal Interpretation Centre. From the top, you'll have a commanding view of Wreck Bay to the South, and Leon Dormido rock to the West.",https://www.galapagosadvisor.com/media/1200/san-crist-cerro-tijeretas.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
"Isabela Island, Urbina Bay",Isabela,58,69,66,56,52,49,Wet,Easy,"Flightless cormorant,Giant tortoise in the wild,Land Iguana","A trail leads away from a pleasant beach and into the arid zone of the island. Surprisingly, this flat, scrubby area contains old corals on land - the result of a major uplift in 1954. You might encounter land and marine iguanas and giant tortoises. Closer to the water you may see flightless cormorants. Landing: Wet. Difficulty: Easy/Moderate.",https://www.galapagosadvisor.com/media/1167/isa-urb.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
"Santiago Island, Sullivan Bay",Santiago,58,35,30,84,75,64,Dry,Easy,Galapagos penguin,"While it doesn’t boast much wildlife, Sullivan Bay provides visitors with an opportunity to walk across a recent lava flow and examine its otherworldly beauty. Don’t worry; the lava isn’t hot, as it was formed in the late 19th century. The trail here crosses pahoehoe lava, dotted with pyroclastic cones. Inland, striking red and yellow tuft cones rise above the flow. Landing: Dry. Difficulty: Easy.","https://www.galapagosadvisor.com/media/1099/santiago-sullivan-bay.jpg?crop=0,0.3060661764705882,0,0.2399356617647059&cropmode=percentage&width=400&height=267&rnd=131867312740000000"
"San Cristóbal Island, Tortoise breeding centre",San Cristóbal,57,66,59,47,,,N/A,Easy,,"Established by the National Park in 2003, and located next to the main town, the breeding centre was created in large part to inform residents and visitors about the history of tortoise conservation in Galapagos. Visitors can both observe giant tortoises living in a semi-natural habitat, but also learn about their origin, evolution, and threats by introduced animals. Landing: N/A. Difficulty: Easy",https://www.galapagosadvisor.com/media/1142/san-crist-tortoise-breeding.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312730000000
"Santa Cruz Island, Bachas Beach",Santa Cruz,57,47,53,64,43,77,Wet,Easy,"Flamingo,Sea turtles","The name originates from the end of WWII when the American army abandoned their barges, of which two floated up onshore. The beach is a good place to spot some of the characteristic Galapagos species such as flamingos, sally lightfoot crabs, marine iguanas as well as migratory and aquatic birds. It is also one of the main nesting sites for sea turtles on Santa Cruz Island. Landing: Wet. Difficulty: Easy","https://www.galapagosadvisor.com/media/1096/crab.jpg?crop=0.0000000000000001421085471520,0.34822998046875,0,0.14918945312500007&cropmode=percentage&width=400&height=267&rnd=131867312730000000"
Mosquera Island,Mosquera,56,55,42,66,51,65,Wet,Easy,Sea lions,"Located between the islands of Baltra and North Seymour, this sand covered reef of rocks and coral (the result of an uprising) has one of the largest populations of sea lions. You can also observe several species of shorebirds and the curious sally lightfoot crabs. There have been occasional reports at this site of Orcas (Orcinus orca) feeding on sea lions. Landing: Wet. Difficulty: Easy",https://www.galapagosadvisor.com/media/1161/mosquera.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
"Santa Cruz Island, Punta Carrión",Santa Cruz,56,35,53,55,69,70,N/A,Easy,"Rays,Sharks","This is a great spot to snorkel and swim among rays, sharks and hundreds of colorful tropical fish. No land excursion. Landing: N/A Difficulty: Easy",https://www.galapagosadvisor.com/media/1132/sta-x-pta-carrion.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312730000000
"Isabela Island, Sierra Negra",Isabela,55,37,36,91,,,None,Difficult,,"Sierra Negra’s caldera is the second largest in the world. A 45-minute drive from Villamil, followed by a 30 minute walk or horseback ride will take you to the rim. On the rim of the volcano, you can follow the the trail for another hour. It divides into two: to the west, it heads to an old sulfur mine; toward the east, the trail leads to Chico Volcano. Great vistas (on a clear day). Landing: None. Difficulty: Difficult.",https://www.galapagosadvisor.com/media/1170/isa-sierra-negra.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
"Marchena Island, Playa Negra",Marchena,54,43,50,53,70,,N/A,Easy,"Rays,Sea lions,Sea turtles,Sharks","Very few ships visit this site - the beach is made of eroded basaltic sand, derived from the Galapagos basaltic shield of volcanoes. You might spot bottle-nosed dolphins playfully splashing about and marine iguanas diving for algae growing on the lava beds below the serene, calm, blue waters. A good snorkeling site. Landing: N/A Difficulty: Easy.",https://www.galapagosadvisor.com/media/1163/marchena-pl-negra.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
